title,description,Vendor,Product Category,Tags,Variant SKU,Image Src,Variant weight,Variant Weight Unit,Brand
"CeraVe AM Facial Moisturizing Lotion with Sunscreen SPF30","<p>A hydrating face lotion is a key morning skincare step—and a&nbsp;moisturizer&nbsp;with SPF is critical for helping to protect the skin from damaging UV rays. For hydration and skin-barrier replenishment that helps the skin hold on to moisture, look for ingredients like&nbsp;hyaluronic acid,&nbsp;niacinamide&nbsp;and&nbsp;ceramides&nbsp;and a non-comedogenic&nbsp;moisturizer&nbsp;like CeraVe AM Facial Moisturizing Lotion with SPF 30 won’t clog pores or cause acne flare-ups.</p>
<p>CeraVe AM Facial Moisturizer is a morning skincare multitasker. Featuring three essential ceramides, hydrating hyaluronic acid and soothing niacinamide, this face lotion uses patented MVE Delivery Technology to supply much-needed moisture and nourishment throughout the day. Offering Broad Spectrum sunscreen, this&nbsp;moisturizer&nbsp;with SPF 30 features InVisibleZinc™ Technology (microfine&nbsp;zinc oxide) that spreads easily and evenly while leaving a residue-free clear finish. And because this non-comedogenic&nbsp;moisturizer&nbsp;formula won’t clog pores, it’s ideal for all skin types.</p>
<ul>
<li>Provides Broad Spectrum SPF 30 sunscreen with InVisibleZinc™ Technology</li>
<li>MVE Technology: This patented delivery system continually releases moisturizing ingredients for all day hydration</li>
<li>Ceramides: Essential for healthy skin, ceramides help restore and maintain the skin’s natural barrier</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Niacinamide: Helps the skin barrier and calms the skin</li>
<li>Non-comedogenic, allergy tested, oil-free and fragrance-free</li>
<li>Developed with dermatologists</li>
<li>Recommended by The Skin Cancer Foundation</li>
</ul>
<p>&nbsp;</p>
<p>HOW TO USE</p>
<ul>
<li>Unlock the pump for first time use by twisting it to the left and pressing down several times until the product comes out.&nbsp;<em>Note: You may actually have to press down on the pump as many as 10-20 times to initially begin dispensing lotion.</em></li>
<li>Apply liberally 15 minutes before sun exposure</li>
<li>Reapply at least every 2 hours</li>
<li>Use a water resistant sunscreen if swimming or sweating</li>
<li>Children under 6 months of age, ask a doctor</li>
</ul>
<p>Sun Protection Measures: Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk regularly use a sunscreen with a Broad Spectrum SPF value of 15 or higher and other sun protection measures including:</p>
<ul>
<li>Limit time in the sun, especially from 10 a.m.-2 p.m.</li>
<li>Wear long-sleeved shirts, pants, hats and sunglasses</li>
</ul>","Glamazle","Makeup","Makeup,face,eyeliner","CVE-53746","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//3/f/3fl.jpg","50","g","CeraVe"
"CeraVe Foaming Facial Cleanser for Normal to Oily skin","<p>A foaming facial cleanser is ideal for removing excess oil, dirt and makeup but it’s important to choose a formula that won’t disrupt the skin’s natural protective barrier. It’s also beneficial to choose a gentle cleanser with ingredients that help maintain moisture balance. CeraVe Foaming Facial Cleanser features&nbsp;ceramides,&nbsp;hyaluronic acid&nbsp;and&nbsp;niacinamide&nbsp;to help reinforce the skin’s barrier, attract hydration and soothe the skin.</p>
<p>CeraVe Foaming Facial Cleanser was developed with dermatologists to deeply cleanse, remove excess oil and refresh the skin without over-stripping it or leaving it feeling tight and dry. Featuring three types of essential ceramides, hyaluronic acid and niacinamide, this gel-based foaming cleanser is an effective yet non-irritating way to start off any skincare regimen for normal to oily skin.</p>
<ul>
<li>Suitable for normal to oily skin</li>
<li>Refreshing gel foaming action</li>
<li>Ceramides: Essential for healthy skin, ceramides help restore and maintain the skin’s natural barrier</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Niacinamide: Helps the skin barrier and calms the skin</li>
<li>Non-comedogenic, non-irritating and fragrance-free</li>
<li>Developed with dermatologists</li>
</ul>
<p>&nbsp;</p>
<p>HOW TO USE</p>
<ul>
<li>Wet skin with lukewarm water</li>
<li>Massage cleanser into skin in a gentle, circular motion</li>
<li>Rinse</li>
</ul>","Glamazle","Makeup","Makeup,face,eyeliner","CVE-53775","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//c/l/cleanser-1_2.jpg","50","g","CeraVe"
"CeraVe Moisturizing Cream 16oz","<p>A compromised skin barrier can lead to dryness and itching—and aggravate skin conditions like eczema and psoriasis. A moisturizing cream can help reinforce the skin barrier with hydrating&nbsp;ingredients&nbsp;such as&nbsp;hyaluronic acid, or a&nbsp;ceramide cream&nbsp;that replenishes essential skin barrier components.</p>
<p>CeraVe Moisturizing Cream acts as both by effectively hydrating as it helps restore the skin’s protective barrier. Developed with dermatologists and ideal for dry and very dry skin on the face and body, this rich, non-greasy, fast-absorbing moisturizing cream features patented MVE Delivery Technology to release a steady stream of hyaluronic acid and three essential ceramides throughout the day and night. Suitable for sensitive skin, this oil-free and fragrance-free ceramide cream also helps the skin hold on to moisture while improving its look and feel.</p>
<ul>
<li>Suitable for dry and very dry skin on the face and body</li>
<li>MVE Technology: This patented delivery system continually releases moisturizing ingredients for 24-hour hydration</li>
<li>Ceramides: Essential for healthy skin, ceramides help restore and maintain the skin’s natural barrier</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Non-comedogenic, oil-free, hypoallergenic, fragrance-free and suitable for sensitive skin</li>
<li>Developed with dermatologists</li>
</ul>
<p>&nbsp;</p>
<p>HOW TO USE</p>
<p>Apply liberally as often as needed, or as directed by a physician.</p>","Glamazle","Makeup","Makeup,face,eyeliner","CVE-53766","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//m/o/moisturizing-16-1.jpg","50","g","CeraVe"
"CeraVe Moisturizing Cream for Normal to Dry skin","<div class='row item-row'>
<div class='col-xs-24'>
<h3><strong>Description</strong></h3>
<div>
<ul>
<li>Developed with Dermatologists</li>
<li>MVE Delivery Technology</li>
<li>Non-Comedogenic and Non-Irritating</li>
<li>With Ceramides and Hyaluronic Acid</li>
<li>Accepted - National Eczema Association</li>
</ul>
<p>Provides patented controlled release of ingredients to help repair and restore protective skin barrier</p>
</div>
</div>
</div>
<div class='row item-row'>
<div class='col-xs-24'>
<h3><strong>Suggested Use</strong></h3>
<div class='prodOverviewDetail'>
<p><strong>To use:</strong>&nbsp;Apply liberally as often as needed, or as directed by a physician.</p>
</div>
</div>
</div>","Glamazle","Makeup","Makeup,face,eyeliner","CVE-53797","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//m/o/moisturizing-2.jpg","50","g","CeraVe"
"CeraVe Skin Renewing Retinol Serum","<p>A&nbsp;retinol&nbsp;serum&nbsp;is an effective product for improving the appearance of&nbsp;fine lines, wrinkles, skin texture and radiance. We recommend an anti-aging serum with ingredients like&nbsp;hyaluronic acid&nbsp;for extra hydration,&nbsp;niacinamide&nbsp;for calming benefits and&nbsp;ceramides&nbsp;to help restore skin’s natural barrier.</p>
<p>CeraVe&nbsp;<strong>Skin Renewing</strong>&nbsp;<strong>Retinol Serum</strong>&nbsp;is a gentle, yet effective, daily&nbsp;retinol serum&nbsp;that provides a variety of&nbsp;anti-aging&nbsp;benefits. Ideal for all skin types, the non-comedogenic formula reduces the appearance of&nbsp;fine lines&nbsp;and wrinkles as it improves the skin’s texture and radiance. Enhanced with hyaluronic acid, soothing niacinamide and three essential ceramides to help restore the skin’s barrier, this&nbsp;retinol serum&nbsp;also features patented time-release MVE Delivery Technology.</p>
<ul>
<li>Reduces the appearance of fine lines and wrinkles</li>
<li>Improves skin texture and radiance</li>
<li>MVE Technology: This patented delivery system continually releases moisturizing ingredients</li>
<li>Encapsulated retinol: Helps smooth fine lines and wrinkles</li>
<li>Ceramides: Help maintain the skin’s natural barrier</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Niacinamide: Helps calm skin</li>
<li>Non-comedogenic and fragrance-free</li>
<li>Developed with dermatologists</li>
</ul>
<p>&nbsp;</p>
<p>How to Use -&nbsp;</p>
<ul>
<li>Apply in small dots where needed around the face</li>
<li>Gently smooth until thoroughly absorbed</li>
<li>Use alone or under makeup once or twice a day</li>
</ul>
<p>Warnings: For external use only. When using this product avoid getting into eyes. If contact occurs, rinse thoroughly with water. If skin irritation occurs, wash product off and consult a physician. When first applying this product, you may experience a slight tingling sensation. This is an indication that the product is working. If the sensation is prolonged or becomes unpleasant, discontinue use and consult a physician. Always apply a broad spectrum sunscreen while using retinol products.</p>","Glamazle","Makeup","Makeup,face,eyeliner","3606000537316","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//5/1/517gcswl7il._sl1000_.jpg","50","g","CeraVe"
"CeraVe Resurfacing Retinol Serum","<p>Post-acne marks and uneven skin tone can be constant reminders of breakouts past even once acne&nbsp;is under control. An effective way to reduce the appearance of acne marks (also called post-inflammatory hyperpigmentation) and visible pores is a gentle, yet effective resurfacing serum that works to refine the skin without compromising its protective barrier.</p>
<p>Developed with dermatologists, CeraVe Resurfacing Retinol Serum helps smooth and improve skin texture by reducing the appearance of post-acne marks, minimizing the look of pores and refining the skin’s surface. This formula contains encapsulated&nbsp;retinol&nbsp;to help resurface the skin and licorice root extract to help brighten the skin’s appearance. In addition, it is also formulated with three essential&nbsp;ceramides&nbsp;to help restore the skin’s barrier, along with soothing&nbsp;niacinamide. Lightweight and fast-absorbing, this resurfacing serum helps restore even skin tone and promote a healthy-looking complexion.</p>
<ul>
<li>Reduces the appearance of post-acne marks and pores</li>
<li>Helps restore the protective skin barrier</li>
<li>Improves skin smoothness</li>
<li>Encapsulated retinol: Helps resurface skin texture</li>
<li>Licorice root extract: Known to help brighten the appearance of skin</li>
<li>Ceramides: Helps restore and maintain the skin’s natural barrier</li>
<li>Niacinamide: Helps calm the skin</li>
<li>MVE Technology: This patented delivery system continually releases moisturizing ingredients</li>
<li>Non-comedogenic, paraben-free and fragrance-free</li>
<li>Developed with dermatologists</li>
</ul>
<p>How to Use -&nbsp;</p>
<ul>
<li>Apply evenly to face daily</li>
<li>Avoid contact with eyes and lips</li>
<li>If contact occurs, rinse thoroughly with water</li>
<li>If discomfort occurs during the first application, space out applications until skin adjusts</li>
<li>Apply a sunscreen while using this product</li>
</ul>","Glamazle","Makeup","Makeup,face,eyeliner","3606000512276","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//6/1/61unrfucdhl._ac_ul600_sr477_600_.jpg","50","g","CeraVe"
"CeraVe Hyaluronic Acid Serum","<p>Hyaluronic acid is a powerful hydrating ingredient found naturally in the skin; however, the skin needs replenishment to maintain moisture levels. Our serum formulated with&nbsp;hyaluronic acid&nbsp;helps bind moisture to the skin’s surface, in turn smoothing skin and providing up to 24 hours of hydration. With three essential&nbsp;ceramides&nbsp;that restore and maintain your skin's natural protective barrier and vitamin B5 to soothe dry skin, CeraVe Hydrating Hyaluronic Acid Serum provides the skin with much-needed moisture and more.</p>
<p>Designed for use on its own or layered with other&nbsp;moisturizers, this refreshing gel-cream formula replenishes hydration, restores the skin’s protective barrier and provides instantly smoother, softer skin. With our highest concentration of hyaluronic acid, three essential ceramides, soothing vitamin B5 and patented MVE Technology, this daily-use serum supplies the skin with up to 24 hours of moisture and nourishment. Immediately after use, 90% of consumers tested said their skin felt intensely hydrated, and 98% of consumers tested said their skin felt smoother after four weeks of use.</p>
<ul>
<li>Provides 24-hour hydration</li>
<li>Can be used alone or layered under moisturizer</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Ceramides: Essential for healthy skin, ceramides help restore and maintain the skin’s natural barrier</li>
<li>Vitamin B5: Provides skin-soothing benefits</li>
<li>MVE Technology: This patented delivery system continually releases moisturizing ingredients for all day hydration</li>
<li>Non-comedogenic, paraben-free and fragrance-free</li>
</ul>
<p>&nbsp;</p>
<p>How to Use -&nbsp;</p>
<ul>
<li>Apply evenly to the face and neck daily</li>
<li>CeraVe Hydrating Hyaluronic Acid Serum can be used alone, or layered under moisturizer</li>
<li>Avoid eye area</li>
<li>In contact with eyes occurs, rinse thoroughly with water</li>
</ul>","Glamazle","Makeup","Makeup,face,eyeliner","3606000527997","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//r/o/row2-image1.jpg","50","g","CeraVe"
"CeraVe Salicylic Acid cleanser 8oz","<p>Exfoliation is key for healthy, smooth skin. We recommend a salicylic acid cleanser as a gentle way to exfoliate. In addition to effectively&nbsp;cleansing&nbsp;the skin to remove oil, dirt and makeup, this multi-tasking product also helps sweep away dead cells, improves dryness and softens rough skin. A salicylic acid cleanser enhanced with&nbsp;barrier-strengthening&nbsp;ingredients like&nbsp;ceramides&nbsp;such as CeraVe Renewing SA Cleanser can yield even better benefits by helping keep moisture in the skin while keeping irritants out.</p>
<p>CeraVe Renewing SA Cleanser provides gentle, non-irritating exfoliation without harsh microbeads or grains that can scratch or injure the skin. Suitable for the face and body as well as acne-prone and psoriasis-prone skin, this salicylic acid cleanser does more than just exfoliate skin—it softens and helps restore the skin’s natural barrier with three essential ceramides, hydrates with hyaluronic acid and soothes the skin with&nbsp;niacinamide. This formula is also non-comedogenic, fragrance-free and enriched with vitamin D for extra antioxidant protection.</p>
<ul>
<li>Effectively cleanses to remove dirt, oil and makeup</li>
<li>Salicylic acid exfoliates for soft, smooth skin</li>
<li>Enriched with vitamin D for antioxidant protection</li>
<li>Ceramides: Essential for healthy skin, ceramides help restore and maintain the skin’s natural barrier</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Niacinamide: Helps repair a compromised skin barrier while improving the appearance of the skin</li>
<li>Non-comedogenic, non-irritating and fragrance-free</li>
</ul>
<p>&nbsp;</p>
<p>How to Use -&nbsp;</p>
<ul>
<li>Wet skin with lukewarm water</li>
<li>Massage cleanser into skin in a gentle, circular motion</li>
<li>Rinse</li>
</ul>","Glamazle","Makeup","Makeup,face,eyeliner","3606000537552","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//5/1/51qee-j_gnl._sl1000_.jpg","50","g","CeraVe"
"CeraVe Hydrating Sunscreen Broad Spectrum SPF50","<p>CeraVe Hydrating Sunscreen Face Lotion with Broad Spectrum SPF 50 is a 100%-mineral,&nbsp;oil-free sunscreen with&nbsp;titanium dioxide&nbsp;and&nbsp;zinc oxide&nbsp;that forms a protective barrier on the skin’s surface to&nbsp;help reflect the sun’s UVA and UVB rays without irritating sensitive skin. Formulated with&nbsp;three essential&nbsp;ceramides&nbsp;to help restore the skin’s barrier and provide long-lasting hydration along with&nbsp;niacinamide&nbsp;to help calm and soothe, it is a gentle yet effective sun-protection option that has been awarded the National Eczema Association Seal of Acceptance and the Skin Cancer Foundation Daily Use Seal of Approval.</p>
<ul>
<li>100%&nbsp;mineral sunscreen&nbsp;to reflect the sun’s rays.</li>
<li>Three essential ceramides help restore skin’s natural barrier and lock in moisture.</li>
<li><u>Hyaluronic acid</u>: Helps retain skin’s natural moisture.</li>
<li><u>Niacinamide</u>: Also known as vitamin B3, helps calm and soothe skin.</li>
<li>Allergy tested, oil-free, non-comedogenic and suitable for sensitive skin.</li>
<li>Fragrance-free and paraben-free to be gentle on the skin.</li>
</ul>
<p><u>Application Tips:</u></p>
<p>Mineral-based UV filters form a protective barrier to help reflect UV rays away from the skin’s surface. Because the ingredients in a mineral sunscreen stay on the surface of the skin to help protect it, a white cast can sometimes remain after applying the product. Follow these tips to apply your mineral sunscreen:</p>
<p>1. Dispense a small amount to one palm and rub your hands together.</p>
<p>2. Apply to one area of the face at a time and thoroughly massage into the skin.</p>
<p>3. The formula should spread easily without leaving a greasy residue or feel.</p>
<p>All sunscreens should be applied liberally for sun protection. It is essential to use any sunscreen product as directed.</p>
<p><strong>Types of skin:</strong></p>
<p>All skin types, suitable for sensitive skin.</p>
<p><strong>Area of concern:</strong><br>Sun protection</p>
<p>&nbsp;</p>
<p>How to Use -&nbsp;</p>
<p><strong>Directions for Sunscreen Use:</strong></p>
<ul>
<li>Apply CeraVe Sunscreen Face Lotion SPF 50 liberally 15 minutes before sun exposure.</li>
<li>Reapply at least every 2 hours and immediately after towel drying.</li>
<li>Use a water resistant sunscreen if swimming or sweating.</li>
<li>Children under 6 months of age: ask a doctor.</li>
</ul>
<p>Sun Protection Measures:&nbsp;Spending time in the sun increases your risk of skin cancer and early skin aging. To decrease this risk, regularly use a sunscreen with a broad spectrum SPF value of 15 or higher and other sun protection measures including:</p>
<ul>
<li>Limit time in the sun, especially from 10 a.m-2 p.m.</li>
<li>Wear long-sleeved shirts, pants, hats and sunglasses</li>
</ul>","Glamazle","Makeup","Makeup,face,eyeliner","3606000514959","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//9/d/9d799655-a146-4473-8f22-b3989777fe14_1.8efd4104cfcaa0dcb391bcf2de82619f.jpeg","50","g","CeraVe"
"CeraVe Foaming Facial Cleanser for Normal to Oily skin - 16 FLOZ","<p>A foaming facial cleanser is ideal for removing excess oil, dirt and makeup but it’s important to choose a formula that won’t disrupt the skin’s natural protective barrier. It’s also beneficial to choose a gentle cleanser with ingredients that help maintain moisture balance. CeraVe Foaming Facial Cleanser features&nbsp;ceramides,&nbsp;hyaluronic acid&nbsp;and&nbsp;niacinamide&nbsp;to help reinforce the skin’s barrier, attract hydration and soothe the skin.</p>
<p>CeraVe Foaming Facial Cleanser was developed with dermatologists to deeply cleanse, remove excess oil and refresh the skin without over-stripping it or leaving it feeling tight and dry. Featuring three types of essential ceramides, hyaluronic acid and niacinamide, this gel-based foaming cleanser is an effective yet non-irritating way to start off any skincare regimen for normal to oily skin.</p>
<ul>
<li>Suitable for normal to oily skin</li>
<li>Refreshing gel foaming action</li>
<li>Ceramides: Essential for healthy skin, ceramides help restore and maintain the skin’s natural barrier</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Niacinamide: Helps the skin barrier and calms the skin</li>
<li>Non-comedogenic, non-irritating and fragrance-free</li>
</ul>
<p>how to Use -&nbsp;</p>
<ul>
<li>Wet skin with lukewarm water</li>
<li>Massage cleanser into skin in a gentle, circular motion</li>
<li>Rinse</li>
</ul>
<p><iframe width='100%' height='315' src='https://www.youtube.com/embed/ebl5LLtuQe4' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe></p>","Glamazle","Makeup","Makeup,face,eyeliner","3606000537705","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//5/1/516r6ghtxal._sl1000_.jpg","50","g","CeraVe"
"CeraVe Hydrating Facial Cleanser 16FL OZ","<p>A hydrating cleanser can remove dirt, makeup and other debris. It’s important to choose a formula that won’t disrupt the skin’s natural protective barrier or strip the skin of its natural moisture. CeraVe Hydrating Facial Cleanser is a gentle&nbsp;face wash&nbsp;with ingredients like&nbsp;ceramides&nbsp;which reinforce the barrier and help the skin lock in moisture, along with&nbsp;hyaluronic acid&nbsp;that attracts hydration to the skin’s surface.</p>
<p>CeraVe Hydrating Cleanser was developed with dermatologists to cleanse and refresh the skin without over-stripping it or leaving it feeling tight and dry. Featuring three types of essential ceramides to restore the skin’s barrier and hydrating hyaluronic acid, this non-comedogenic face wash is an effective yet non-irritating way to start off any skincare regimen for normal to dry skin—and it uses&nbsp;MVE Delivery Technology&nbsp;to supply the skin with a steady stream of nourishment throughout the day and night.</p>
<ul>
<li>Suitable for normal to dry skin</li>
<li>MVE Technology: This patented delivery system continually releases moisturizing ingredients for 24-hour hydration</li>
<li>Ceramides: Essential for healthy skin, ceramides help restore and maintain the skin’s natural barrier</li>
<li>Hyaluronic acid: This ingredient attracts hydration to the skin’s surface and helps the skin retain moisture</li>
<li>Non-comedogenic, non-irritating and fragrance-free</li>
</ul>
<p>&nbsp;</p>
<p>HOW TO USE</p>
<div id='tabs-3' class='ui-tabs-panel ui-widget-content ui-corner-bottom' role='tabpanel' aria-labelledby='ui-id-1' aria-hidden='false'>
<div class='row'>
<ul>
<li>Wet skin with lukewarm water</li>
<li>Massage cleanser into skin in a gentle, circular motion</li>
<li>Rinse</li>
</ul>
</div>
</div>
<p><iframe width='100%' height='315' src='https://www.youtube.com/embed/ebl5LLtuQe4' title='YouTube video player' frameborder='0' allow='accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture' allowfullscreen></iframe></p>","Glamazle","Makeup","Makeup,face,eyeliner","3606000537675","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product//c/e/cerave-1.jpg","50","g","CeraVe"
